match_id,season,match_date,venue,city,team1,team2,toss_winner,toss_decision,innings1_team,innings2_team,innings1_runs,innings2_runs,match_total_runs,impact_player_era_flag,team1_batting_first_flag,team2_batting_first_flag,team1_won_toss_flag,team2_won_toss_flag,team1_chasing_flag,team2_chasing_flag,toss_decision_bat_flag,toss_decision_field_flag,team1_runs_avg_last5,team1_wickets_lost_avg_last5,team1_powerplay_avg_last5,team1_death_avg_last5,team1_runs_conceded_avg_last5,team2_runs_avg_last5,team2_wickets_lost_avg_last5,team2_powerplay_avg_last5,team2_death_avg_last5,team2_runs_conceded_avg_last5,venue_avg_runs,venue_avg_powerplay,venue_avg_death,venue_avg_wickets,venue_runs_avg_last10,venue_powerplay_avg_last10,venue_death_avg_last10,venue_wickets_avg_last10
1136582,2018,2018-04-23,arun jaitley stadium,Delhi,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,Kings XI Punjab,Delhi Daredevils,143,139.0,282.0,0,1,0,0,1,0,1,0,1,167.6,5.0,64.0,32.2,177.4,144.8,5.8,48.4,32.2,178.0,180.21621621621625,56.48648648648648,48.12162162162162,5.986486486486487,180.21621621621625,56.48648648648648,48.12162162162162,5.986486486486487
1136583,2018,2018-04-24,wankhede stadium,Mumbai,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,Sunrisers Hyderabad,Mumbai Indians,118,87.0,205.0,0,1,0,0,1,0,1,0,1,154.6,5.2,47.8,36.4,157.0,177.2,6.4,56.0,44.4,170.0,173.4857142857143,50.05714285714286,46.864285714285714,5.9071428571428575,173.4857142857143,50.05714285714286,46.864285714285714,5.9071428571428575
1136584,2018,2018-04-25,m.chinnaswamy stadium,Bengaluru,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Royal Challengers Bangalore,Chennai Super Kings,205,207.0,412.0,0,1,0,0,1,0,1,0,1,175.2,6.2,51.0,50.6,187.2,190.6,5.4,53.2,59.8,176.4,177.2962962962963,50.2962962962963,53.629629629629626,5.962962962962963,177.2962962962963,50.2962962962963,53.629629629629626,5.962962962962963
1136585,2018,2018-04-26,rajiv gandhi international stadium,Hyderabad,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Sunrisers Hyderabad,Kings XI Punjab,132,119.0,251.0,0,1,0,0,1,0,1,0,1,152.8,7.0,46.6,38.0,149.4,162.8,5.8,59.6,33.8,172.0,154.36666666666667,50.56666666666667,38.333333333333336,6.333333333333333,154.36666666666667,50.56666666666667,38.333333333333336,6.333333333333333
1136586,2018,2018-04-27,arun jaitley stadium,Delhi,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,Delhi Daredevils,Kolkata Knight Riders,219,164.0,383.0,0,1,0,0,1,0,1,0,1,139.4,6.0,49.0,32.2,173.2,178.8,6.6,53.2,50.6,151.8,180.21621621621625,56.48648648648648,48.12162162162162,5.986486486486487,180.21621621621625,56.48648648648648,48.12162162162162,5.986486486486487
1136587,2018,2018-04-28,maharashtra cricket association stadium,Pune,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,Mumbai Indians,169,170.0,339.0,0,1,0,0,1,0,1,0,1,198.2,4.6,55.8,61.6,184.4,161.6,7.6,52.6,36.8,159.8,168.16666666666666,46.083333333333336,48.5,5.416666666666667,168.16666666666666,46.083333333333336,48.5,5.416666666666667
1136588,2018,2018-04-29,sawai mansingh stadium,Jaipur,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Rajasthan Royals,151,140.0,291.0,0,1,0,1,0,0,1,1,0,149.0,6.4,42.8,39.0,143.8,167.6,6.8,45.8,49.4,158.4,157.25,49.5,39.857142857142854,5.571428571428571,157.25,49.5,39.857142857142854,5.571428571428571
1136589,2018,2018-04-29,m.chinnaswamy stadium,Bengaluru,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Royal Challengers Bangalore,Kolkata Knight Riders,175,176.0,351.0,0,1,0,0,1,0,1,0,1,181.0,6.4,51.0,54.4,193.2,171.2,7.2,50.6,39.6,154.6,177.2962962962963,50.2962962962963,53.629629629629626,5.962962962962963,177.2962962962963,50.2962962962963,53.629629629629626,5.962962962962963
1136590,2018,2018-04-30,maharashtra cricket association stadium,Pune,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,Chennai Super Kings,Delhi Daredevils,211,198.0,409.0,0,1,0,0,1,0,1,0,1,191.0,4.6,51.0,60.0,178.0,171.2,6.0,48.4,48.0,175.4,168.16666666666666,46.083333333333336,48.5,5.416666666666667,168.16666666666666,46.083333333333336,48.5,5.416666666666667
1136591,2018,2018-05-01,m.chinnaswamy stadium,Bengaluru,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Royal Challengers Bangalore,Mumbai Indians,167,153.0,320.0,0,1,0,0,1,0,1,0,1,184.2,6.0,50.8,57.6,197.4,166.2,6.4,51.8,39.0,163.4,177.2962962962963,50.2962962962963,53.629629629629626,5.962962962962963,184.2,47.6,59.5,5.7
