match_id,season,match_date,venue,city,team1,team2,toss_winner,toss_decision,innings1_team,innings2_team,innings1_runs,innings2_runs,match_total_runs,impact_player_era_flag,team1_batting_first_flag,team2_batting_first_flag,team1_won_toss_flag,team2_won_toss_flag,team1_chasing_flag,team2_chasing_flag,toss_decision_bat_flag,toss_decision_field_flag,team1_runs_avg_last5,team1_wickets_lost_avg_last5,team1_powerplay_avg_last5,team1_death_avg_last5,team1_runs_conceded_avg_last5,team2_runs_avg_last5,team2_wickets_lost_avg_last5,team2_powerplay_avg_last5,team2_death_avg_last5,team2_runs_conceded_avg_last5,venue_avg_runs,venue_avg_powerplay,venue_avg_death,venue_avg_wickets,venue_runs_avg_last10,venue_powerplay_avg_last10,venue_death_avg_last10,venue_wickets_avg_last10,team1_xi_bat_runs_avg_last5,team1_xi_bat_balls_avg_last5,team1_xi_bat_fours_avg_last5,team1_xi_bat_sixes_avg_last5,team1_xi_bowl_wickets_avg_last5,team1_xi_bowl_runs_conceded_avg_last5,team1_xi_bowl_dotballs_avg_last5,team1_xi_player_count,team2_xi_bat_runs_avg_last5,team2_xi_bat_balls_avg_last5,team2_xi_bat_fours_avg_last5,team2_xi_bat_sixes_avg_last5,team2_xi_bowl_wickets_avg_last5,team2_xi_bowl_runs_conceded_avg_last5,team2_xi_bowl_dotballs_avg_last5,team2_xi_player_count,recency_weight
1136582,2018,2018-04-23,arun jaitley stadium,Delhi,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,Kings XI Punjab,Delhi Daredevils,143,139.0,282.0,0,1,0,0,1,0,1,0,1,167.6,5.0,64.0,32.2,177.4,144.8,5.8,48.4,32.2,178.0,180.21621621621625,56.48648648648648,48.12162162162162,5.986486486486487,180.21621621621625,56.48648648648648,48.12162162162162,5.986486486486487,13.68,8.28,1.44,0.64,0.64,19.0,2.5599999999999996,11,16.400000000000002,9.733333333333333,2.0,0.7333333333333334,0.8666666666666666,19.933333333333337,2.8666666666666667,11,0.25
1136583,2018,2018-04-24,wankhede stadium,Mumbai,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,Sunrisers Hyderabad,Mumbai Indians,118,87.0,205.0,0,1,0,0,1,0,1,0,1,154.6,5.2,47.8,36.4,157.0,177.2,6.4,56.0,44.4,170.0,173.4857142857143,50.05714285714286,46.864285714285714,5.9071428571428575,173.4857142857143,50.05714285714286,46.864285714285714,5.9071428571428575,15.84,12.0,1.36,0.6,0.6,18.68,4.04,11,18.25,12.55,1.85,0.8250000000000001,0.675,13.95,4.825,11,0.25
1136584,2018,2018-04-25,m.chinnaswamy stadium,Bengaluru,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Royal Challengers Bangalore,Chennai Super Kings,205,207.0,412.0,0,1,0,0,1,0,1,0,1,175.2,6.2,51.0,50.6,187.2,190.6,5.4,53.2,59.8,176.4,177.2962962962963,50.2962962962963,53.629629629629626,5.962962962962963,177.2962962962963,50.2962962962963,53.629629629629626,5.962962962962963,21.314285714285713,14.057142857142855,1.9142857142857144,0.942857142857143,0.4857142857142857,13.971428571428572,3.8285714285714287,11,22.4,13.933333333333332,1.9333333333333331,1.1666666666666667,0.5666666666666667,15.366666666666667,3.9333333333333336,11,0.25
1136585,2018,2018-04-26,rajiv gandhi international stadium,Hyderabad,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Sunrisers Hyderabad,Kings XI Punjab,132,119.0,251.0,0,1,0,0,1,0,1,0,1,152.8,7.0,46.6,38.0,149.4,162.8,5.8,59.6,33.8,172.0,154.36666666666667,50.56666666666667,38.333333333333336,6.333333333333333,154.36666666666667,50.56666666666667,38.333333333333336,6.333333333333333,18.525,14.3,1.875,0.55,0.4,11.3,5.0249999999999995,11,17.0,12.066666666666668,1.7666666666666666,0.5333333333333333,0.5666666666666668,15.2,3.733333333333333,11,0.25
1136586,2018,2018-04-27,arun jaitley stadium,Delhi,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,Delhi Daredevils,Kolkata Knight Riders,219,164.0,383.0,0,1,0,0,1,0,1,0,1,139.4,6.0,49.0,32.2,173.2,178.8,6.6,53.2,50.6,151.8,180.21621621621625,56.48648648648648,48.12162162162162,5.986486486486487,180.21621621621625,56.48648648648648,48.12162162162162,5.986486486486487,19.24,12.8,1.84,0.96,0.5599999999999999,12.32,4.28,11,20.95,13.925,1.8,1.2,0.5,13.1,5.0,11,0.25
1136587,2018,2018-04-28,maharashtra cricket association stadium,Pune,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,Mumbai Indians,169,170.0,339.0,0,1,0,0,1,0,1,0,1,198.2,4.6,55.8,61.6,184.4,161.6,7.6,52.6,36.8,159.8,168.16666666666666,46.083333333333336,48.5,5.416666666666667,168.16666666666666,46.083333333333336,48.5,5.416666666666667,20.525,12.85,1.725,1.125,0.725,18.675,3.6,11,17.142857142857142,13.028571428571428,1.7428571428571429,0.7142857142857143,0.7714285714285714,13.6,5.314285714285715,11,0.25
1136588,2018,2018-04-29,sawai mansingh stadium,Jaipur,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Rajasthan Royals,151,140.0,291.0,0,1,0,1,0,0,1,1,0,149.0,6.4,42.8,39.0,143.8,167.6,6.8,45.8,49.4,158.4,157.25,49.5,39.857142857142854,5.571428571428571,157.25,49.5,39.857142857142854,5.571428571428571,17.95,14.275,1.6,0.5750000000000001,0.425,10.875,5.05,11,17.775,12.125,1.35,0.725,0.2,12.6,3.3,11,0.25
1136589,2018,2018-04-29,m.chinnaswamy stadium,Bengaluru,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Royal Challengers Bangalore,Kolkata Knight Riders,175,176.0,351.0,0,1,0,0,1,0,1,0,1,181.0,6.4,51.0,54.4,193.2,171.2,7.2,50.6,39.6,154.6,177.2962962962963,50.2962962962963,53.629629629629626,5.962962962962963,177.2962962962963,50.2962962962963,53.629629629629626,5.962962962962963,20.56,14.16,1.92,0.76,0.5599999999999999,12.68,3.96,11,18.577777777777776,12.533333333333331,1.488888888888889,1.088888888888889,0.4888888888888889,15.333333333333334,4.488888888888889,11,0.25
1136590,2018,2018-04-30,maharashtra cricket association stadium,Pune,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,Chennai Super Kings,Delhi Daredevils,211,198.0,409.0,0,1,0,0,1,0,1,0,1,191.0,4.6,51.0,60.0,178.0,171.2,6.0,48.4,48.0,175.4,168.16666666666666,46.083333333333336,48.5,5.416666666666667,168.16666666666666,46.083333333333336,48.5,5.416666666666667,25.714285714285715,16.4,2.1714285714285717,1.4,0.3714285714285714,12.771428571428572,4.742857142857143,11,22.119999999999997,13.68,1.8,1.36,0.68,13.2,4.319999999999999,11,0.25
1136591,2018,2018-05-01,m.chinnaswamy stadium,Bengaluru,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Royal Challengers Bangalore,Mumbai Indians,167,153.0,320.0,0,1,0,0,1,0,1,0,1,184.2,6.0,50.8,57.6,197.4,166.2,6.4,51.8,39.0,163.4,177.2962962962963,50.2962962962963,53.629629629629626,5.962962962962963,184.2,47.6,59.5,5.7,20.2,13.5,1.6333333333333335,0.9333333333333332,0.4333333333333333,15.033333333333331,3.8333333333333335,11,14.533333333333337,10.955555555555556,1.4444444444444444,0.5555555555555556,0.6444444444444445,14.8,4.177777777777778,11,0.25
