match_id,season,match_date,team,opponent,venue,innings_number,batting_first_flag,runs_scored,runs_conceded,wickets_lost,wickets_taken,powerplay_runs_scored,powerplay_runs_conceded,death_overs_runs_scored,death_overs_runs_conceded
1082591,2017,2017-04-05,Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",1,True,207,172.0,4,10.0,59,54.0,56,33.0
1082591,2017,2017-04-05,Royal Challengers Bangalore,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2,False,172,207.0,10,4.0,54,59.0,33,56.0
1082592,2017,2017-04-06,Mumbai Indians,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,1,True,184,187.0,8,3.0,61,59.0,64,48.0
1082592,2017,2017-04-06,Rising Pune Supergiant,Mumbai Indians,Maharashtra Cricket Association Stadium,2,False,187,184.0,3,8.0,59,61.0,48,64.0
1082593,2017,2017-04-07,Gujarat Lions,Kolkata Knight Riders,Saurashtra Cricket Association Stadium,1,True,183,184.0,4,0.0,52,73.0,58,0.0
1082593,2017,2017-04-07,Kolkata Knight Riders,Gujarat Lions,Saurashtra Cricket Association Stadium,2,False,184,183.0,0,4.0,73,52.0,0,58.0
1082594,2017,2017-04-08,Rising Pune Supergiant,Kings XI Punjab,Holkar Cricket Stadium,1,True,163,164.0,6,4.0,35,56.0,55,36.0
1082594,2017,2017-04-08,Kings XI Punjab,Rising Pune Supergiant,Holkar Cricket Stadium,2,False,164,163.0,4,6.0,56,35.0,36,55.0
1082595,2017,2017-04-08,Royal Challengers Bangalore,Delhi Daredevils,M.Chinnaswamy Stadium,1,True,157,142.0,8,9.0,41,43.0,36,29.0
1082595,2017,2017-04-08,Delhi Daredevils,Royal Challengers Bangalore,M.Chinnaswamy Stadium,2,False,142,157.0,9,8.0,43,41.0,29,36.0
1082596,2017,2017-04-09,Gujarat Lions,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",1,True,135,140.0,7,1.0,40,59.0,33,9.0
1082596,2017,2017-04-09,Sunrisers Hyderabad,Gujarat Lions,"Rajiv Gandhi International Stadium, Uppal",2,False,140,135.0,1,7.0,59,40.0,9,33.0
1082597,2017,2017-04-09,Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium,1,True,178,180.0,7,6.0,59,49.0,61,65.0
1082597,2017,2017-04-09,Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,2,False,180,178.0,6,7.0,49,59.0,65,61.0
1082598,2017,2017-04-10,Royal Challengers Bangalore,Kings XI Punjab,Holkar Cricket Stadium,1,True,148,150.0,4,2.0,23,62.0,77,0.0
1082598,2017,2017-04-10,Kings XI Punjab,Royal Challengers Bangalore,Holkar Cricket Stadium,2,False,150,148.0,2,4.0,62,23.0,0,77.0
1082599,2017,2017-04-11,Delhi Daredevils,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,1,True,205,108.0,4,10.0,62,50.0,82,2.0
1082599,2017,2017-04-11,Rising Pune Supergiant,Delhi Daredevils,Maharashtra Cricket Association Stadium,2,False,108,205.0,10,4.0,50,62.0,2,82.0
1082600,2017,2017-04-12,Sunrisers Hyderabad,Mumbai Indians,Wankhede Stadium,1,True,158,159.0,8,6.0,34,61.0,40,38.0
1082600,2017,2017-04-12,Mumbai Indians,Sunrisers Hyderabad,Wankhede Stadium,2,False,159,158.0,6,8.0,61,34.0,38,40.0
