match_id,season,match_date,team,opponent,venue,innings_number,batting_first_flag,runs_scored,runs_conceded,wickets_lost,wickets_taken,powerplay_runs_scored,powerplay_runs_conceded,death_overs_runs_scored,death_overs_runs_conceded
1136561,2018,2018-04-07,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,1,True,165,169.0,4,9.0,39,42.0,48,63.0
1136561,2018,2018-04-07,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,2,False,169,165.0,9,4.0,42,39.0,63,48.0
1136562,2018,2018-04-08,Delhi Daredevils,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,1,True,166,167.0,7,4.0,45,73.0,43,35.0
1136562,2018,2018-04-08,Kings XI Punjab,Delhi Daredevils,Punjab Cricket Association IS Bindra Stadium,2,False,167,166.0,4,7.0,73,45.0,35,43.0
1136563,2018,2018-04-08,Royal Challengers Bangalore,Kolkata Knight Riders,Eden Gardens,1,True,176,177.0,7,6.0,52,68.0,44,36.0
1136563,2018,2018-04-08,Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,2,False,177,176.0,6,7.0,68,52.0,36,44.0
1136564,2018,2018-04-09,Rajasthan Royals,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,1,True,125,127.0,9,1.0,48,57.0,28,4.0
1136564,2018,2018-04-09,Sunrisers Hyderabad,Rajasthan Royals,Rajiv Gandhi International Stadium,2,False,127,125.0,1,9.0,57,48.0,4,28.0
1136565,2018,2018-04-10,Kolkata Knight Riders,Chennai Super Kings,MA Chidambaram Stadium,1,True,202,205.0,6,5.0,64,75.0,79,60.0
1136565,2018,2018-04-10,Chennai Super Kings,Kolkata Knight Riders,MA Chidambaram Stadium,2,False,205,202.0,5,6.0,75,64.0,60,79.0
1136566,2018,2018-04-11,Rajasthan Royals,Delhi Daredevils,Sawai Mansingh Stadium,1,True,153,60.0,5,4.0,51,60.0,36,0.0
1136566,2018,2018-04-11,Delhi Daredevils,Rajasthan Royals,Sawai Mansingh Stadium,2,False,60,153.0,4,5.0,60,51.0,0,36.0
1136567,2018,2018-04-12,Mumbai Indians,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,1,True,147,151.0,8,9.0,54,56.0,36,30.0
1136567,2018,2018-04-12,Sunrisers Hyderabad,Mumbai Indians,Rajiv Gandhi International Stadium,2,False,151,147.0,9,8.0,56,54.0,30,36.0
1136568,2018,2018-04-13,Kings XI Punjab,Royal Challengers Bangalore,M.Chinnaswamy Stadium,1,True,155,159.0,10,6.0,50,41.0,33,50.0
1136568,2018,2018-04-13,Royal Challengers Bangalore,Kings XI Punjab,M.Chinnaswamy Stadium,2,False,159,155.0,6,10.0,41,50.0,50,33.0
1136569,2018,2018-04-14,Mumbai Indians,Delhi Daredevils,Wankhede Stadium,1,True,194,195.0,7,3.0,84,53.0,36,47.0
1136569,2018,2018-04-14,Delhi Daredevils,Mumbai Indians,Wankhede Stadium,2,False,195,194.0,3,7.0,53,84.0,47,36.0
1136570,2018,2018-04-14,Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,1,True,138,139.0,8,5.0,49,46.0,32,27.0
1136570,2018,2018-04-14,Sunrisers Hyderabad,Kolkata Knight Riders,Eden Gardens,2,False,139,138.0,5,8.0,46,49.0,27,32.0
1136571,2018,2018-04-15,Rajasthan Royals,Royal Challengers Bangalore,M.Chinnaswamy Stadium,1,True,217,198.0,4,6.0,52,64.0,88,64.0
1136571,2018,2018-04-15,Royal Challengers Bangalore,Rajasthan Royals,M.Chinnaswamy Stadium,2,False,198,217.0,6,4.0,64,52.0,64,88.0
1136572,2018,2018-04-15,Kings XI Punjab,Chennai Super Kings,Punjab Cricket Association IS Bindra Stadium,1,True,197,193.0,7,5.0,75,53.0,43,71.0
1136572,2018,2018-04-15,Chennai Super Kings,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,2,False,193,197.0,5,7.0,53,75.0,71,43.0
1136573,2018,2018-04-16,Kolkata Knight Riders,Delhi Daredevils,Eden Gardens,1,True,200,129.0,9,10.0,50,56.0,55,0.0
1136573,2018,2018-04-16,Delhi Daredevils,Kolkata Knight Riders,Eden Gardens,2,False,129,200.0,10,9.0,56,50.0,0,55.0
1136574,2018,2018-04-17,Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,1,True,213,167.0,6,8.0,60,55.0,70,59.0
1136574,2018,2018-04-17,Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium,2,False,167,213.0,8,6.0,55,60.0,59,70.0
1136575,2018,2018-04-18,Rajasthan Royals,Kolkata Knight Riders,Sawai Mansingh Stadium,1,True,160,163.0,8,3.0,48,53.0,48,42.0
1136575,2018,2018-04-18,Kolkata Knight Riders,Rajasthan Royals,Sawai Mansingh Stadium,2,False,163,160.0,3,8.0,53,48.0,42,48.0
1136576,2018,2018-04-19,Kings XI Punjab,Sunrisers Hyderabad,Punjab Cricket Association IS Bindra Stadium,1,True,193,178.0,3,5.0,49,40.0,50,60.0
1136576,2018,2018-04-19,Sunrisers Hyderabad,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,2,False,178,193.0,5,3.0,40,49.0,60,50.0
1136577,2018,2018-04-20,Chennai Super Kings,Rajasthan Royals,Maharashtra Cricket Association Stadium,1,True,204,140.0,5,10.0,69,35.0,43,25.0
1136577,2018,2018-04-20,Rajasthan Royals,Chennai Super Kings,Maharashtra Cricket Association Stadium,2,False,140,204.0,10,5.0,35,69.0,25,43.0
1136578,2018,2018-04-21,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,1,True,191,126.0,7,1.0,50,73.0,45,0.0
1136578,2018,2018-04-21,Kings XI Punjab,Kolkata Knight Riders,Eden Gardens,2,False,126,191.0,1,7.0,73,50.0,0,45.0
1136579,2018,2018-04-21,Delhi Daredevils,Royal Challengers Bangalore,M.Chinnaswamy Stadium,1,True,174,176.0,5,4.0,28,43.0,71,36.0
1136579,2018,2018-04-21,Royal Challengers Bangalore,Delhi Daredevils,M.Chinnaswamy Stadium,2,False,176,174.0,4,5.0,43,28.0,36,71.0
1136580,2018,2018-04-22,Chennai Super Kings,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,1,True,182,178.0,3,6.0,27,40.0,62,61.0
1136580,2018,2018-04-22,Sunrisers Hyderabad,Chennai Super Kings,Rajiv Gandhi International Stadium,2,False,178,182.0,6,3.0,40,27.0,61,62.0
1136581,2018,2018-04-22,Mumbai Indians,Rajasthan Royals,Sawai Mansingh Stadium,1,True,167,168.0,7,7.0,43,43.0,32,50.0
1136581,2018,2018-04-22,Rajasthan Royals,Mumbai Indians,Sawai Mansingh Stadium,2,False,168,167.0,7,7.0,43,43.0,50,32.0
1136582,2018,2018-04-23,Kings XI Punjab,Delhi Daredevils,Arun Jaitley Stadium,1,True,143,139.0,8,8.0,51,48.0,43,43.0
1136582,2018,2018-04-23,Delhi Daredevils,Kings XI Punjab,Arun Jaitley Stadium,2,False,139,143.0,8,8.0,48,51.0,43,43.0
1136583,2018,2018-04-24,Sunrisers Hyderabad,Mumbai Indians,Wankhede Stadium,1,True,118,87.0,10,10.0,51,22.0,12,10.0
1136583,2018,2018-04-24,Mumbai Indians,Sunrisers Hyderabad,Wankhede Stadium,2,False,87,118.0,10,10.0,22,51.0,10,12.0
1136584,2018,2018-04-25,Royal Challengers Bangalore,Chennai Super Kings,M.Chinnaswamy Stadium,1,True,205,207.0,8,5.0,52,55.0,63,72.0
